OBJECTID,省,省代码,市,市代码,县,县代码,年度,县类型,市类型,省类型,x,y,县代码_,area,人口,dem,road,crop_lv,bare_lv,pop_lv,Shape_Length,Shape_Area,black_revise,forest_lv,gaia_c_lv,pop,worldpop,landscan,city_lv,town_lv,gj_lv,geo_subdivision6,lake_lv
1746,内蒙古自治区,150000,乌兰察布市,150900,商都县,150923,0,县,地级市,自治区,113.6080017,41.7165985,150923,4257.1601563,173926.000000000000000,1448.108173730000100,0.069559930791400,0.506113437899434,0.043321673472941,40.854979449629148,540621.156913646380000,4257155488.584605200000000,4.512605042016807,0.028034705408348,0.023571443483584,173926.000000000000000,220111.597484409810000,164391.000000000000000,0.003122930331215,0.044777857071736,0.006074408151016,1.000000000000000,0.009846779034724
1747,内蒙古自治区,150000,乌兰察布市,150900,四子王旗,150929,0,旗,地级市,自治区,111.5759964,42.2873001,150929,24045.4003906,129372.000000000000000,1273.908214710000000,0.021907246313600,0.091878168664015,0.088594808384707,5.380316176287964,793343.938302052790000,24045427027.163574000000000,4.505363267093133,0.006979077552269,0.001338990568295,129372.000000000000000,170154.088355398850000,115601.000000000000000,0.000926671003797,0.007458470161391,0.000857763930609,4.000000000000000,0.006841455444370
1748,内蒙古自治区,150000,乌兰察布市,150900,兴和县,150924,0,县,地级市,自治区,113.7620010,40.9418983,150924,3524.8999023,167881.000000000000000,1428.969671720000000,0.106264548529000,0.456868850414109,0.021117538013789,47.627172963155239,414515.926924776230000,3524899538.544395000000000,6.547834953141271,0.048953480266067,0.030392015099596,167881.000000000000000,212125.717302560810000,149471.000000000000000,0.002571137106433,0.048596023270137,0.013811627669850,4.000000000000000,0.009546100875409
1749,内蒙古自治区,150000,乌兰察布市,150900,卓资县,150921,0,县,地级市,自治区,112.4319992,40.9496994,150921,3091.1999512,85648.000000000000000,1649.003426609999900,0.132824873144000,0.312442333770413,0.003018051998923,27.707046284192611,386979.158270324290000,3091199224.973460700000000,6.415249837767683,0.157356502961784,0.012530185594988,85648.000000000000000,123809.009454965590000,95847.000000000000000,0.002089868536395,0.044944984094706,0.006346468982493,4.000000000000000,0.005632726940329
1750,内蒙古自治区,150000,锡林郭勒盟,152500,阿巴嘎旗,152522,0,旗,盟,自治区,114.8919983,44.2565002,152522,27474.5996094,38589.000000000000000,1208.625531590000000,0.019322713480700,0.000647453177606,0.123757931453803,1.404534990058457,871767.397972202510000,27474573629.806065000000000,3.781687579559920,0.001109072716126,0.000932378436338,38589.000000000000000,46746.636683755089000,29222.000000000000000,0.000259963997849,0.000538436017218,0.000819757944326,4.000000000000000,0.002854825537878
1751,内蒙古自治区,150000,锡林郭勒盟,152500,东乌珠穆沁旗,152525,0,旗,盟,自治区,117.7600021,45.8063011,152525,45582.1015625,70610.000000000000000,947.555369920999960,0.019563132979500,0.022434907882280,0.109403897245977,1.549074073814407,1156435.371115043800000,45582068148.704750000000000,8.857050540779540,0.010810369516198,0.001810679140989,70610.000000000000000,102240.410304046790000,63483.000000000000000,0.000406956085000,0.000939171953768,0.001347115269094,4.000000000000000,0.007156811510926
1752,内蒙古自治区,150000,锡林郭勒盟,152500,多伦县,152531,0,县,盟,自治区,116.4779968,42.1791992,152531,3882.1398926,103736.000000000000000,1355.945075760000000,0.046004587501800,0.278954189824581,0.107392720665664,26.721362141656957,391282.051020618590000,3882137424.359889500000000,15.256178738548737,0.025187052726791,0.015442961813719,103736.000000000000000,105457.992643147710000,66335.000000000000000,0.002855463057655,0.011618908624142,0.002641019335293,4.000000000000000,0.002982609064344
1753,内蒙古自治区,150000,锡林郭勒盟,152500,二连浩特市,152501,0,县级市,盟,自治区,112.0279999,43.4123001,152501,3996.2399902,75794.000000000000000,998.307713236000040,0.042197970742400,0.001001291828216,0.171687991975321,18.966339987957319,308638.762486295020000,3996237547.577730200000000,52.147885075818039,0.000874272352032,0.017951635543659,75794.000000000000000,74666.422203336377000,50959.000000000000000,0.003983096552818,0.002821453896512,0.005288199149425,4.000000000000000,0.002192827505654
1754,内蒙古自治区,150000,锡林郭勒盟,152500,苏尼特右旗,152524,0,旗,盟,自治区,112.9079971,42.8779984,152524,22503.8007813,62402.000000000000000,1101.992402450000100,0.019640616334600,0.005830169686955,0.117408976902683,2.772951208529181,835544.979452205010000,22503821851.628994000000000,6.269723832253665,0.001774698549576,0.002378835930757,62402.000000000000000,73901.419811001280000,44789.000000000000000,0.000433206415527,0.001277782955695,0.004678725271387,4.000000000000000,0.004527793067432
1755,内蒙古自治区,150000,锡林郭勒盟,152500,苏尼特左旗,152523,0,旗,盟,自治区,113.1439972,44.0223999,152523,34239.1992188,33643.000000000000000,1086.976348670000100,0.024711355093800,0.000011513103485,0.089572470828258,0.982585846160676,918922.854037360170000,34239247523.720768000000000,8.452045606975185,0.000640659523396,0.000541378720054,33643.000000000000000,35151.842458534986000,22242.000000000000000,0.000171119414816,0.000393679796574,0.000425169974600,4.000000000000000,0.002671155857350
1756,内蒙古自治区,150000,锡林郭勒盟,152500,太仆寺旗,152527,0,旗,盟,自治区,115.2860031,41.8936996,152527,3418.6699219,109370.000000000000000,1452.457114190000100,0.077782678125100,0.446550304775502,0.022184933537058,31.991959455033040,326354.398793400270000,3418671499.434952300000000,9.190687632393678,0.010775501537977,0.013790620130595,109370.000000000000000,117769.897247195240000,73676.000000000000000,0.002782659872869,0.031395090173987,0.002196116240253,4.000000000000000,0.007157389119774
1757,内蒙古自治区,150000,锡林郭勒盟,152500,西乌珠穆沁旗,152526,0,旗,盟,自治区,117.7959976,44.7184982,152526,22461.9003906,99255.000000000000000,1069.439216600000000,0.022046284898400,0.017676832369329,0.087800053430490,4.418810753296656,873082.693176543110000,22461925966.381512000000000,24.574820864764714,0.085761644076433,0.005287427274836,99255.000000000000000,91115.134493053076000,58771.000000000000000,0.000455851382260,0.002151801233445,0.007905697858046,4.000000000000000,0.001347505684345
1758,内蒙古自治区,150000,锡林郭勒盟,152500,锡林浩特市,152502,0,县级市,盟,自治区,116.1360016,44.0727005,152502,14781.7001953,349953.000000000000000,1122.052891020000100,0.024108625256900,0.028396429314284,0.072945908986060,23.674701309860421,715600.380470002070000,14781728200.906422000000000,89.339611073857654,0.004818577302459,0.016454496841924,349953.000000000000000,257541.087285572780000,150447.000000000000000,0.003558785500925,0.003461550591687,0.007218641727796,4.000000000000000,0.003071303448288
1759,内蒙古自治区,150000,锡林郭勒盟,152500,镶黄旗,152528,0,旗,盟,自治区,114.1060028,42.3526001,152528,5140.1000977,27399.000000000000000,1289.362899689999900,0.033844138812000,0.015223715116539,0.072984919871786,5.330442272956779,397521.422356196680000,5140098813.001846300000000,5.283417935702199,0.000990681343930,0.002675610041817,27399.000000000000000,29889.105479300022000,19021.000000000000000,0.001241941105072,0.002566701629671,0.000845003210641,4.000000000000000,0.003117867988617
1760,内蒙古自治区,150000,锡林郭勒盟,152500,正蓝旗,152530,0,旗,盟,自治区,115.9300003,42.6618004,152530,10213.2001953,69908.000000000000000,1322.554816190000100,0.036174656705500,0.045338565986959,0.189847424277908,6.844894657199652,558979.048853248590000,10213159369.292675000000000,13.150756071483123,0.006994652429961,0.005262710397098,69908.000000000000000,84908.436639433727000,55220.000000000000000,0.000509519122520,0.003562051534159,0.000915583480281,4.000000000000000,0.005084553667437
1761,内蒙古自治区,150000,锡林郭勒盟,152500,正镶白旗,152529,0,旗,盟,自治区,115.0139999,42.5396996,152529,6250.7998047,42950.000000000000000,1266.895734600000000,0.043006887378400,0.101161003244080,0.143593517109150,6.871119399936150,386194.639697181820000,6250800997.636442200000000,5.830430385436566,0.000933864316302,0.003146716717975,42950.000000000000000,57523.163340747356000,35933.000000000000000,0.000688375778021,0.005146476429527,0.000893981427678,4.000000000000000,0.003435922810728
1762,内蒙古自治区,150000,兴安盟,152200,阿尔山市,152202,0,县级市,盟,自治区,120.3440018,47.1521988,152202,7420.8398438,32301.000000000000000,1104.055984059999900,0.030355792167300,0.021616467303886,0.009759767798568,4.352740251893431,580428.763616238370000,7420842533.838112800000000,7.935229357798165,0.650109954227098,0.003763198029423,32301.000000000000000,68308.408499155194000,40006.000000000000000,0.001206736291623,0.000729378096263,0.000720160814036,3.000000000000000,0.000950130179197
1763,内蒙古自治区,150000,兴安盟,152200,科尔沁右翼前旗,152221,0,旗,盟,自治区,121.0650024,46.3638000,152221,16668.5000000,285392.000000000000000,687.153524157999980,0.039854452647600,0.181204797474034,0.005798309898148,17.121623960178916,995992.442740140600000,16668512324.751331000000000,9.869587864820923,0.299225899877925,0.016001775971569,285392.000000000000000,238207.286362968390000,177640.000000000000000,0.000328337640059,0.012208642021269,0.001286515531932,4.000000000000000,0.003736899371892
1764,内蒙古自治区,150000,兴安盟,152200,科尔沁右翼中旗,152222,0,旗,盟,自治区,121.1029968,45.2612991,152222,12776.7001953,207380.000000000000000,472.550733912000000,0.030147452508000,0.203178910571139,0.135636481170861,16.231139368286541,889267.971179035030000,12776675456.634460000000000,3.806386264717091,0.121739415333769,0.008761152334184,207380.000000000000000,252311.279748998580000,159517.000000000000000,0.000620865735138,0.016009305448374,0.001002936956761,4.000000000000000,0.003430088065280
1765,内蒙古自治区,150000,兴安盟,152200,突泉县,152224,0,县,盟,自治区,121.5130005,45.6161003,152224,4800.7797852,220668.000000000000000,423.956946340000000,0.053120973619200,0.417185071705805,0.027529159052746,45.965043271722266,401511.504719696240000,4800778685.130818400000000,7.077625315037804,0.194980744040379,0.034907774548960,220668.000000000000000,276028.360042691230000,172221.000000000000000,0.002928274957465,0.021618992835778,0.003907803552392,4.000000000000000,0.007007528598711
1766,内蒙古自治区,150000,兴安盟,152200,乌兰浩特市,152201,0,县级市,盟,自治区,122.4120026,46.0171013,152201,2479.8200684,356035.000000000000000,267.517925095000010,0.078044363331600,0.351529498182968,0.055709063731073,143.573180870201100,343229.597882571510000,2479815504.832182900000000,66.721574953695409,0.053099595410793,0.095394758012858,356035.000000000000000,313633.429082419720000,205441.000000000000000,0.010255682307995,0.019757558537935,0.012312407895065,4.000000000000000,0.008852003793097
1767,内蒙古自治区,150000,兴安盟,152200,扎赉特旗,152223,0,旗,盟,自治区,122.3679962,46.7839012,152223,10993.9003906,315153.000000000000000,351.630518908999990,0.046259935058200,0.336634834707453,0.063054717650540,28.666072672671806,855843.866674621470000,10993937104.626280000000000,3.496459835826649,0.231533733163605,0.064069822602823,315153.000000000000000,397268.746623612940000,242283.000000000000000,0.000973436531258,0.021100921152476,0.000487495967004,4.000000000000000,0.005739979378584
